Freq(Hz),Average Gain (dB)
32545158333,-3.884088433
32586816667,-3.8721199
32628475000,-3.870315067
32670133333,-3.8756239
32711791667,-3.891414967
32753450000,-3.905585367
32795108333,-3.8824009
32836766667,-3.893810767
32878425000,-3.887114133
32920083333,-3.906763233
32961741667,-3.902813033
33003400000,-3.906352933
33045058333,-3.902538933
33086716667,-3.905217467
33128375000,-3.924039033
33170033333,-3.908399567
33211691667,-3.920891667
33253350000,-3.914339767
33295008333,-3.918025033
33336666667,-3.9174122
33378325000,-3.9339922
33419983333,-3.9385663
33461641667,-3.927173233
33503300000,-3.933527567
33544958333,-3.939524233
33586616667,-3.9504736
33628275000,-3.9419859
33669933333,-3.950721067
33711591667,-3.945732867
33753250000,-3.9649434
33794908333,-3.966353967
33836566667,-3.9617466
33878225000,-3.971397
33919883333,-3.971191267
33961541667,-3.980041667
34003200000,-3.987520233
34044858333,-4.0009319
34086516667,-3.988604933
34128175000,-3.993066567
34169833333,-4.000145367
34211491667,-3.998085233
34253150000,-4.0060901
34294808333,-4.001521633
34336466667,-4.0151175
34378125000,-4.0076053
34419783333,-4.0197015
34461441667,-4.027007367
34503100000,-4.035364967
34544758333,-4.029052
34586416667,-4.0271922
34628075000,-4.063045
34669733333,-4.062122667
34711391667,-4.0528539
34753050000,-4.0430889
34794708333,-4.062698667
34836366667,-4.057101
34878025000,-4.060626167
34919683333,-4.063045733
34961341667,-4.0697549
35003000000,-4.080297633
35044658333,-4.066593167
35086316667,-4.070033067
35127975000,-4.0737535
35169633333,-4.079271
35211291667,-4.072422033
35252950000,-4.0977866
35294608333,-4.0875519
35336266667,-4.108976033
35377925000,-4.0971096
35419583333,-4.098419533
35461241667,-4.102379167
35502900000,-4.1143756
35544558333,-4.110809333
35586216667,-4.108622267
35627875000,-4.1179436
35669533333,-4.1118455
35711191667,-4.129754867
35752850000,-4.1239516
35794508333,-4.1348281
35836166667,-4.138596667
35877825000,-4.1419881
35919483333,-4.136038767
35961141667,-4.1405393
36002800000,-4.147297367
36044458333,-4.144635833
36086116667,-4.146396667
36127775000,-4.154408467
36169433333,-4.160639767
36211091667,-4.163260467
36252750000,-4.169072467
36294408333,-4.165048267
36336066667,-4.1644923
36377725000,-4.181779233
36419383333,-4.181567367
36461041667,-4.1884394
36502700000,-4.202593833
36544358333,-4.2006437
36586016667,-4.190375333
36627675000,-4.1889685
36669333333,-4.200195133
36710991667,-4.205466567
36752650000,-4.2053175
36794308333,-4.219467467
36835966667,-4.213487167
36877625000,-4.2290662
36919283333,-4.232773167
36960941667,-4.2316203
37002600000,-4.235267967
37044258333,-4.2317195
37085916667,-4.242148367
37127575000,-4.248024133
37169233333,-4.260632533
37210891667,-4.2414783
37252550000,-4.245598
37294208333,-4.249309233
37335866667,-4.2668085
37377525000,-4.265227167
37419183333,-4.260235467
37460841667,-4.262043467
37502500000,-4.2546091
37544158333,-4.277235167
37585816667,-4.274555067
37627475000,-4.285349533
37669133333,-4.282809433
37710791667,-4.2851896
37752450000,-4.290720133
37794108333,-4.2889797
37835766667,-4.293621533
37877425000,-4.295184133
37919083333,-4.305515933
37960741667,-4.295819567
38002400000,-4.309402467
38044058333,-4.297305733
38085716667,-4.2977465
38127375000,-4.303085
38169033333,-4.315759833
38210691667,-4.311611633
38252350000,-4.304389633
38294008333,-4.3183403
38335666667,-4.3237737
38377325000,-4.323800267
38418983333,-4.318783733
38460641667,-4.3185398
38502300000,-4.331012233
38543958333,-4.322496767
38585616667,-4.334183567
38627275000,-4.330112
38668933333,-4.3498017
38710591667,-4.338628467
38752250000,-4.343359633
38793908333,-4.3504402
38835566667,-4.3501479
38877225000,-4.349990533
38918883333,-4.3474342
38960541667,-4.354490133
39002200000,-4.356207033
39043858333,-4.3528544
39085516667,-4.3610201
39127175000,-4.3674331
39168833333,-4.366921467
39210491667,-4.3744647
39252150000,-4.364297233
39293808333,-4.3751761
39335466667,-4.383443167
39377125000,-4.3777914
39418783333,-4.403070133
39460441667,-4.396933867
39502100000,-4.406765633
39543758333,-4.404170067
39585416667,-4.401256867
39627075000,-4.411148233
39668733333,-4.410282933
39710391667,-4.4259766
39752050000,-4.412941433
39793708333,-4.431004033
39835366667,-4.414445733
39877025000,-4.429299367
39918683333,-4.442512233
39960341667,-4.439049733
40002000000,-4.4445184
40043658333,-4.444738067
40085316667,-4.448491267
40126975000,-4.451778267
40168633333,-4.471339567
40210291667,-4.4670739
40251950000,-4.4633044
40293608333,-4.476848933
40335266667,-4.473093333
40376925000,-4.479480267
40418583333,-4.4879301
40460241667,-4.4850211
40501900000,-4.486376767
40543558333,-4.487115233
40585216667,-4.494489033
40626875000,-4.493016733
40668533333,-4.494479833
40710191667,-4.5168815
40751850000,-4.505612867
40793508333,-4.5052786
40835166667,-4.509018733
40876825000,-4.517478333
40918483333,-4.5448222
40960141667,-4.5214068
41001800000,-4.525411933
41043458333,-4.528531367
41085116667,-4.5427761
41126775000,-4.5333382
41168433333,-4.544067867
41210091667,-4.5408128
41251750000,-4.547584667
41293408333,-4.567189233
41335066667,-4.540397633
41376725000,-4.587643467
41418383333,-4.553029533
41460041667,-4.575818867
41501700000,-4.561555533
41543358333,-4.583003867
41585016667,-4.5941372
41626675000,-4.575845067
41668333333,-4.611855667
41709991667,-4.571612
41751650000,-4.6159967
41793308333,-4.578394267
41834966667,-4.581841167
41876625000,-4.583863267
41918283333,-4.636031167
41959941667,-4.614110633
42001600000,-4.6204324
42043258333,-4.629279133
42084916667,-4.6428388
42126575000,-4.661338333
42168233333,-4.627006033
42209891667,-4.666752967
42251550000,-4.639257433
42293208333,-4.659960933
42334866667,-4.646123567
42376525000,-4.666671767
42418183333,-4.6652198
42459841667,-4.688709567
42501500000,-4.724998767
42543158333,-4.773788
42584816667,-4.8125092
42626475000,-4.755002333
42668133333,-4.735335533
42709791667,-4.7197234
42751450000,-4.775343267
42793108333,-4.8239501
42834766667,-4.923357467
42876425000,-4.962851833
42918083333,-4.9194312
42959741667,-4.875260033
43001400000,-4.822291533
43043058333,-4.7904237
43084716667,-4.7512636
43126375000,-4.754169933
43168033333,-4.717092367
43209691667,-4.7261262
43251350000,-4.715888333
43293008333,-4.7300159
43334666667,-4.734363867
43376325000,-4.7598936
43417983333,-4.782494533
43459641667,-4.769689733
43501300000,-4.774270233
43542958333,-4.761772167
43584616667,-4.7648996
43626275000,-4.759699533
43667933333,-4.7780617
43709591667,-4.769866633
43751250000,-4.774538833
43792908333,-4.766853833
43834566667,-4.7562324
43876225000,-4.754418867
43917883333,-4.7491948
43959541667,-4.755534
44001200000,-4.7587504
44042858333,-4.749451633
44084516667,-4.764737133
44126175000,-4.753959833
44167833333,-4.757532767
44209491667,-4.760367067
44251150000,-4.768530033
44292808333,-4.756170733
44334466667,-4.736998067
44376125000,-4.753932
44417783333,-4.7770845
44459441667,-4.793511067
44501100000,-4.784959133
44542758333,-4.7965272
44584416667,-4.780690033
44626075000,-4.785129233
44667733333,-4.781428333
44709391667,-4.778056767
44751050000,-4.784237533
44792708333,-4.774433767
44834366667,-4.7929214
44876025000,-4.7907173
44917683333,-4.795703067
44959341667,-4.7894883
45001000000,-4.7955087
45042658333,-4.7943279
45084316667,-4.806582133
45125975000,-4.803813133
45167633333,-4.808715333
45209291667,-4.818488767
45250950000,-4.8195532
45292608333,-4.836092467
45334266667,-4.847693933
45375925000,-4.888666
45417583333,-4.952087733
45459241667,-5.0622285
45500900000,-5.012085767
45542558333,-4.917093433
45584216667,-4.8842794
45625875000,-4.875167333
45667533333,-4.886909667
45709191667,-4.886672967
45750850000,-4.900845367
45792508333,-4.931934667
45834166667,-5.007202
45875825000,-5.040712033
45917483333,-4.9594892
45959141667,-4.9391265
46000800000,-4.929115467
46042458333,-4.939527667
46084116667,-4.9191057
46125775000,-4.922031733
46167433333,-4.944979533
46209091667,-4.931233233
46250750000,-4.948296533
46292408333,-4.9571344
46334066667,-4.9989122
46375725000,-4.975484833
46417383333,-4.990417
46459041667,-5.0193499
46500700000,-5.103956233
46542358333,-5.1747446
46584016667,-5.2382744
46625675000,-5.1375583
46667333333,-5.066196933
46708991667,-5.060840467
46750650000,-5.046278767
46792308333,-5.063477167
46833966667,-5.0442074
46875625000,-5.0588088
46917283333,-5.059690333
46958941667,-5.079799167
47000600000,-5.100830067
47042258333,-5.1620509
47083916667,-5.169784533
47125575000,-5.133586733
47167233333,-5.211441367
47208891667,-5.2678129
47250550000,-5.367931033
47292208333,-5.680749733
47333866667,-5.865011533
47375525000,-5.7910867
47417183333,-5.678757367
47458841667,-5.636578267
47500500000,-5.5460448
47542158333,-5.588630533
47583816667,-5.522060233
47625475000,-5.569073833
47667133333,-5.474444367
47708791667,-5.430151133
47750450000,-5.460959733
47792108333,-5.490248167
47833766667,-5.6514904
47875425000,-5.7807398
47917083333,-5.771983667
47958741667,-6.015669833
48000400000,-6.055078833
48042058333,-6.109444767
48083716667,-6.553458367
48125375000,-7.075461533
48167033333,-7.542881467
48208691667,-7.381894433
48250350000,-7.276818767
48292008333,-7.152826167
48333666667,-7.2423708
48375325000,-7.5678093
48416983333,-7.6642904
48458641667,-8.079418433
48500300000,-7.9184812
